Ingredient Name,Category,Safety Level,Allergy Risk,Health Impact,Processing Level,Regulatory Status,Packaging Names / Alternate Names
Whole Wheat Flour (Atta),Cereals & Grains,Very Safe,Medium,Positive,Minimally Processed,Approved,whole wheat flour; wheat flour; atta; wholemeal flour; whole meal atta; गेहूं का आटा
Refined Wheat Flour (Maida),Cereals & Grains,Safe,Medium,Neutral,Processed,Approved,refined wheat flour; maida; refined flour; white flour; मैदा
Rice Flour,Cereals & Grains,Very Safe,,Positive,Minimally Processed,Approved,rice flour; ground rice; chawal ka atta; चावल का आटा
Oats,Cereals & Grains,Very Safe,,Positive,Minimally Processed,Approved,oats; oat; jai; जई
Corn (Maize),Cereals & Grains,Very Safe,,Positive,Minimally Processed,Approved,corn; maize; makka; makai; मक्का
Semolina (Suji/Rava),Cereals & Grains,Very Safe,,Positive,Minimally Processed,Approved,semolina; suji; sooji; rava; रवा; सूजी
Barley,Cereals & Grains,Very Safe,Low,Positive,Minimally Processed,Approved,barley; jau; जौ
Ragi (Finger Millet),Cereals & Grains,Very Safe,,Positive,Minimally Processed,Approved,ragi; finger millet; nachni; mandua; रागी
Bajra (Pearl Millet),Cereals & Grains,Very Safe,,Positive,Minimally Processed,Approved,bajra; pearl millet; बाजरा
Jowar (Sorghum),Cereals & Grains,Very Safe,,Positive,Minimally Processed,Approved,jowar; sorghum; juar; ज्वार
Brown Rice,Cereals & Grains,Very Safe,,Positive,Minimally Processed,Approved,brown rice; unpolished rice; भूरा चावल
White Rice,Cereals & Grains,Very Safe,,Positive,Minimally Processed,Approved,white rice; polished rice; chawal; चावल
Quinoa,Cereals & Grains,Very Safe,,Positive,Minimally Processed,Approved,quinoa
Buckwheat (Kuttu),Cereals & Grains,Very Safe,,Positive,Minimally Processed,Approved,buckwheat; kuttu; kuttu atta; कुट्टू
Amaranth (Rajgira),Cereals & Grains,Very Safe,,Positive,Minimally Processed,Approved,amaranth; rajgira; ramdana; राजगिरा
Wheat Bran,Cereals & Grains,Very Safe,Medium,Positive,Minimally Processed,Approved,wheat bran; chokar; चोकर
Rice Bran,Cereals & Grains,Very Safe,,Positive,Minimally Processed,Approved,rice bran; चावल की भूसी
Cornmeal,Cereals & Grains,Very Safe,,Positive,Minimally Processed,Approved,cornmeal; maize meal
Rolled Oats,Cereals & Grains,Very Safe,,Positive,Minimally Processed,Approved,rolled oats; oat flakes; porridge oats
