Ingredient_Name,Primary_Function,Ingredient_Category,Product_Categories,Origin,Safety_Level,Allergy_Risk,Irritation_Risk,Regulatory_Status,Packaging Names / Alternate Names
Aqua (Water),Solvent,Solvent,"Face Wash, Cleanser, Moisturizer, Shampoo, Conditioner, Body Wash, Toner, Serum, Sunscreen, Lotion",Natural,Very Safe,No Risk,No Risk,Approved,Water
Butylene Glycol,Solvent,Solvent,"Toner, Serum, Moisturizer, Face Mist, Essence",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Propylene Glycol,Humectant,Humectant,"Moisturizer, Face Cream, Deodorant, Hair Gel",Synthetic,Safe,Medium,Low,Approved,No Alternate Names
Pentylene Glycol,Humectant,Humectant,"Serum, Moisturizer, Toner, Sunscreen",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
Dipropylene Glycol,Solvent,Solvent,"Fragrance, Serum, Toner",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Hexylene Glycol,Solvent,Solvent,"Toner, Serum, Cream",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Isopropyl Alcohol,Solvent,Alcohol,"Hand Sanitizer, Nail Polish Remover, Perfume",Synthetic,Moderate Risk,Low,Medium,Approved,No Alternate Names
Ethanol,Solvent,Alcohol,"Hand Sanitizer, Perfume, Toner, Body Mist",Naturally Derived,Moderate Risk,Low,Medium,Approved,No Alternate Names
Alcohol Denat.,Solvent,Alcohol,"Toner, Hair Spray, Perfume, Hand Sanitizer",Synthetic,Moderate Risk,Low,Medium,Approved,No Alternate Names
SD Alcohol 40,Solvent,Alcohol,"Perfume, Hair Spray, Toner",Synthetic,Moderate Risk,Low,Medium,Approved,No Alternate Names
Caprylyl Glycol,Humectant,Humectant,"Moisturizer, Serum, Deodorant",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Glycerin,Humectant,Humectant,"Moisturizer, Face Wash, Soap, Body Lotion, Shampoo, Serum",Naturally Derived,Very Safe,Low,No Risk,Approved,No Alternate Names
Sodium PCA,Humectant,Humectant,"Moisturizer, Serum, Hair Conditioner",Biotechnology Derived,Safe,Low,No Risk,Approved,No Alternate Names
Propanediol,Humectant,Humectant,"Serum, Toner, Moisturizer",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Sorbitol,Humectant,Sugar,"Toothpaste, Moisturizer, Cream",Naturally Derived,Very Safe,No Risk,No Risk,Approved,No Alternate Names
Glyceryl Glucoside,Humectant,Sugar,"Serum, Moisturizer",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Trehalose,Humectant,Sugar,"Serum, Cream, Mask",Naturally Derived,Very Safe,No Risk,No Risk,Approved,No Alternate Names
Xylitol,Humectant,Sugar,"Toothpaste, Mouthwash, Serum",Naturally Derived,Very Safe,Low,No Risk,Approved,No Alternate Names
Xylitylglucoside,Humectant,Sugar,"Serum, Moisturizer",Biotechnology Derived,Safe,Low,No Risk,Approved,No Alternate Names
Anhydroxylitol,Humectant,Sugar,"Serum, Moisturizer",Biotechnology Derived,Safe,Low,No Risk,Approved,No Alternate Names
Inulin,Humectant,Sugar,"Serum, Cream",Natural,Safe,Low,No Risk,Approved,No Alternate Names
Sodium Lactate,Humectant,Salt,"Moisturizer, Serum, Deodorant",Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Polyglutamic Acid,Humectant,Polymer,"Serum, Moisturizer, Mask",Biotechnology Derived,Safe,Low,No Risk,Approved,No Alternate Names
Beta-Glucan,Humectant,Polymer,"Serum, Moisturizer, Mask",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Betaine,Humectant,Amino Acid,"Moisturizer, Serum, Shampoo",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Urea,Humectant,Humectant,"Foot Cream, Moisturizer, Hand Cream",Synthetic,Safe,Low,Medium,Approved,No Alternate Names
Honey (Mel),Humectant,Natural Ingredient,"Face Mask, Moisturizer, Face Wash, Lip Balm",Natural,Safe,Medium,Low,Approved,Mel
Aloe Barbadensis Leaf Juice,Humectant,Plant Extract,"Moisturizer, Gel, After Sun Gel, Face Mask",Natural,Very Safe,Low,No Risk,Approved,No Alternate Names
Sodium Hyaluronate,Humectant,Polymer,"Serum, Moisturizer, Eye Cream, Sheet Mask",Biotechnology Derived,Very Safe,No Risk,No Risk,Approved,No Alternate Names
Hyaluronic Acid,Humectant,Polymer,"Serum, Moisturizer, Eye Serum",Biotechnology Derived,Very Safe,No Risk,No Risk,Approved,No Alternate Names
Sodium Hyaluronate Crosspolymer,Humectant,Polymer,"Serum, Eye Cream",Biotechnology Derived,Safe,No Risk,No Risk,Approved,No Alternate Names
Panthenol,Humectant,Vitamin,"Shampoo, Conditioner, Moisturizer, Serum, Baby Lotion",Synthetic,Very Safe,Low,No Risk,Approved,Pro-Vitamin B5
Dexpanthenol,Conditioning Agent,Vitamin,"Hair Serum, Lotion, Cream",Synthetic,Very Safe,Low,No Risk,Approved,No Alternate Names
Caprylic/Capric Triglyceride,Emollient,Oil,"Moisturizer, Serum, Body Oil, Baby Oil",Naturally Derived,Very Safe,Low,No Risk,Approved,No Alternate Names
Isopropyl Myristate,Emollient,Emollient,"Moisturizer, Sunscreen, Body Lotion",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Isopropyl Palmitate,Emollient,Emollient,"Moisturizer, Body Lotion, Foundation",Synthetic,Safe,Low,Low,Approved,No Alternate Names
Cetyl Alcohol,Emollient,Fatty Alcohol,"Cream, Lotion, Conditioner",Naturally Derived,Very Safe,Low,No Risk,Approved,No Alternate Names
Stearyl Alcohol,Emollient,Fatty Alcohol,"Cream, Lotion, Conditioner",Naturally Derived,Very Safe,Low,No Risk,Approved,No Alternate Names
Cetearyl Alcohol,Emollient,Fatty Alcohol,"Cream, Lotion, Conditioner, Hair Mask",Naturally Derived,Very Safe,Low,No Risk,Approved,No Alternate Names
Behenyl Alcohol,Emollient,Fatty Alcohol,"Conditioner, Hair Mask",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Myristyl Alcohol,Emollient,Fatty Alcohol,"Cream, Lotion",Naturally Derived,Safe,Low,No Risk,Approved,No Alternate Names
Lauryl Alcohol,Emollient,Fatty Alcohol,"Shampoo, Cream",Naturally Derived,Safe,Low,Low,Approved,No Alternate Names
Squalane,Emollient,Oil,"Face Oil, Serum, Moisturizer",Naturally Derived,Very Safe,Low,No Risk,Approved,No Alternate Names
Squalene,Emollient,Oil,"Face Oil, Serum",Animal Derived,Safe,Low,No Risk,Approved,No Alternate Names
Simmondsia Chinensis Seed Oil (Jojoba Oil),Emollient,Oil,"Face Oil, Hair Oil, Moisturizer, Serum",Natural,Very Safe,Low,No Risk,Approved,Jojoba Oil
Cocos Nucifera Oil (Coconut Oil),Emollient,Oil,"Hair Oil, Body Oil, Soap, Moisturizer",Natural,Safe,Medium,Low,Approved,Coconut Oil
Prunus Amygdalus Dulcis Oil (Sweet Almond Oil),Emollient,Oil,"Body Oil, Face Oil, Moisturizer, Baby Oil",Natural,Safe,Medium,Low,Approved,Sweet Almond Oil
Argania Spinosa Kernel Oil (Argan Oil),Emollient,Oil,"Hair Oil, Hair Serum, Face Oil, Moisturizer",Natural,Very Safe,Low,No Risk,Approved,Argan Oil
Butyrospermum Parkii Butter (Shea Butter),Emollient,Butter,"Body Butter, Lip Balm, Moisturizer, Body Cream",Natural,Very Safe,Low,No Risk,Approved,Shea Butter
Theobroma Cacao Seed Butter (Cocoa Butter),Emollient,Butter,"Body Butter, Lip Balm, Body Cream, Maternity Care Products",Natural,Safe,Medium,Low,Approved,Cocoa Butter
Paraffinum Liquidum (Mineral Oil),Occlusive,Oil,"Baby Oil, Petroleum Jelly, Moisturizer, Cleansing Oil",Mineral,Safe,Low,No Risk,Approved,Mineral Oil
Petrolatum,Occlusive,Wax,"Petroleum Jelly, Lip Balm, Diaper Rash Cream, Moisturizer",Mineral,Very Safe,Low,No Risk,Approved,No Alternate Names
Dimethicone,Occlusive,Silicone,"Moisturizer, Sunscreen, Primer, Conditioner",Synthetic,Very Safe,Low,No Risk,Approved,No Alternate Names
Cyclomethicone,Emollient,Silicone,"Serum, Primer, Hair Serum",Synthetic,Safe,Low,No Risk,Approved,No Alternate Names
