Ingredient_Name,canonical_group_id,Primary_Function,Ingredient_Category,Origin,Regulatory_Status,Safety_Level_true,Safety_Level_pred,Safety_Level_correct,Safety_Level_confidence,Allergy_Risk_true,Allergy_Risk_pred,Allergy_Risk_correct,Allergy_Risk_confidence,Irritation_Risk_true,Irritation_Risk_pred,Irritation_Risk_correct,Irritation_Risk_confidence
Aqua (Water),Aqua (Water),Solvent,Solvent,Natural,Approved,Very Safe,Very Safe,True,0.8549928174900505,No Risk,Low,False,0.866469181186117,No Risk,No Risk,True,0.9760015154727679
Butylene Glycol,Butylene Glycol,Solvent,Solvent,Synthetic,Approved,Safe,Safe,True,0.8710840607584533,Low,Low,True,0.9958111162159431,Low,No Risk,False,0.9706163963493695
Propylene Glycol,Propylene Glycol,Humectant,Humectant,Synthetic,Approved,Safe,Safe,True,0.9975837310395104,Medium,Low,False,0.9551792810328594,Low,Low,True,0.6184481402275649
Pentylene Glycol,Pentylene Glycol,Humectant,Humectant,Synthetic,Approved,Safe,Safe,True,0.998471341484518,Low,Low,True,0.9584811531583125,No Risk,Low,False,0.6507146892304938
Dipropylene Glycol,Dipropylene Glycol,Solvent,Solvent,Synthetic,Approved,Safe,Safe,True,0.90924746142004,Low,Low,True,0.9972824985054217,Low,No Risk,False,0.5444133745656862
Hexylene Glycol,Hexylene Glycol,Solvent,Solvent,Synthetic,Approved,Safe,Safe,True,0.9298761919808348,Low,Low,True,0.9981330228163069,Low,No Risk,False,0.9553793025577798
Isopropyl Alcohol,Isopropyl Alcohol,Solvent,Alcohol,Synthetic,Approved,Moderate Risk,Moderate Risk,True,0.9995389826155839,Low,Low,True,0.9889785518388818,Medium,Medium,True,0.9991925373016644
Ethanol,Ethanol,Solvent,Alcohol,Naturally Derived,Approved,Moderate Risk,Moderate Risk,True,0.6050403652232482,Low,Low,True,0.9928316043847817,Medium,Medium,True,0.7534679803311348
Alcohol Denat.,Alcohol Denat.,Solvent,Alcohol,Synthetic,Approved,Moderate Risk,Moderate Risk,True,0.9951286495244211,Low,Low,True,0.9382332416550612,Medium,Medium,True,0.9907156853294823
SD Alcohol 40,SD Alcohol 40,Solvent,Alcohol,Synthetic,Approved,Moderate Risk,Moderate Risk,True,0.8918373924848827,Low,Low,True,0.9919582742517455,Medium,Medium,True,0.9819157767879759
Caprylyl Glycol,Caprylyl Glycol,Humectant,Humectant,Naturally Derived,Approved,Safe,Safe,True,0.5313593990742698,Low,Low,True,0.6169561553919587,No Risk,Low,False,0.6512790587648516
