configuration,C,class_weight,safety_macro_f1,allergy_macro_f1,irritation_macro_f1,mean_macro_f1,safety_high_recall,allergy_high_recall,irritation_high_recall,safety_dangerous_confusions,allergy_dangerous_confusions,irritation_dangerous_confusions,total_dangerous_confusions
C=10.0_cw=None,10.0,None,0.7625303928238208,0.7256584935445526,0.6936914581185926,0.727293448162322,0.8444444444444444,0.5853658536585366,0.37037037037037035,1,7,14,22
C=10.0_cw=balanced,10.0,balanced,0.7548893699936012,0.7158910093783952,0.7110252720657187,0.7272685504792383,0.8444444444444444,0.6341463414634146,0.5555555555555556,1,5,11,17
C=1.0_cw=balanced,1.0,balanced,0.7653953995863941,0.7063069452335848,0.7047821743473918,0.7254948397224569,0.8444444444444444,0.6585365853658537,0.5555555555555556,2,7,13,22
C=5.0_cw=None,5.0,None,0.7641987600557192,0.7174507824570382,0.6931426790783184,0.7249307405303586,0.8444444444444444,0.5365853658536586,0.37037037037037035,1,9,14,24
C=5.0_cw=balanced,5.0,balanced,0.7553385874579448,0.7140123216928715,0.705164522374757,0.7248384771751911,0.8444444444444444,0.6341463414634146,0.5185185185185185,1,6,12,19
C=2.0_cw=balanced,2.0,balanced,0.7560628447596532,0.712106598078091,0.7001017353008995,0.7227570593795479,0.8444444444444444,0.6341463414634146,0.5185185185185185,1,6,13,20
C=2.0_cw=None,2.0,None,0.7650880565691122,0.7106651943452148,0.6918150803007379,0.7225227770716883,0.8222222222222222,0.5365853658536586,0.3333333333333333,0,7,15,22
C=0.5_cw=balanced,0.5,balanced,0.7656124856423447,0.691158671009669,0.6970860310596243,0.7179523959038794,0.8444444444444444,0.6585365853658537,0.5555555555555556,2,7,14,23
C=1.0_cw=None,1.0,None,0.7611058230181829,0.6997494887470707,0.6485625655770081,0.7031392924474206,0.8,0.4878048780487805,0.18518518518518517,0,8,19,27
C=0.1_cw=balanced,0.1,balanced,0.7526175943034037,0.6295028445737807,0.6636329514272008,0.6819177967681284,0.8444444444444444,0.6341463414634146,0.5185185185185185,3,7,21,31
C=0.5_cw=None,0.5,None,0.7347982371852803,0.6907092148317928,0.6087264905392855,0.6780779808521196,0.7555555555555555,0.4634146341463415,0.1111111111111111,0,8,21,29
C=0.1_cw=None,0.1,None,0.6728062296096857,0.5984023919309757,0.5359631481161504,0.6023905898856039,0.6666666666666666,0.3170731707317073,0.0,0,8,29,37
